Parola;GenereNumero
cane;s.m.
cani;p.m.
scimmia;s.f.
artigiano;s.m.
artigiana;s.f.
gnomo;s.m.
nano;s.m.
nana;s.f.
zingaro;s.m.
zingara;s.f.
psicopatico;s.m.
psicopatica;s.f.
uomo;s.m.
uomini;p.m.
donna;s.f.
donne;p.f.
signore;s.m.
signore;p.f.
signori;p.m.
signora;s.f.
padre;s.m.
madre;s.f.
papa';s.m.
mamma;s.f.
mammina;s.f.
paparino;s.m.
mamme;p.f.
papa';p.m.
figlio;s.m.
figlia;s.f.
figli;p.m.
figlie;p.f.
amico;s.m.
amica;s.f.
amici;p.m.
amiche;p.f.
amichetti;p.m.
amichette;p.f.
capo;s.m.
capa;s.f.
capi;p.m.
cape;p.f.
famiglia;s.f.
persona;s.f.
soldato;s.m.
nemico;s.m.
nemici;p.m.
moglie;s.f.
marito;s.m.
mogli;p.f.
mariti;p.m.
amante;s.m.
amante;s.f.
ragazzo;s.m.
ragazza;s.f.
ragazzino;s.m.
ragazzina;s.f.
ragazzaccio;s.m.
ragazzaccia;s.f.
bambino;s.m.
bambina;s.f.
figlia;s.f.
figlio;s.m.
compagno;s.m.
compagna;s.f.
dottore;s.m.
dottoressa;s.f.
zie;p.f.
zii;p.m.
segretario;s.m.
segretarie;p.f.
operaio;s.m.
operaia;s.f.
signorina;s.f.
signorine;p.f.
principe;s.m.
principessa;s.f.
re;s.m.
regina;s.f.
fratello;s.m.
sorella;s.f.
maestro;s.m.
maestra;s.f.
maestre;p.f.
personaggio;s.m.
direttore;s.m.
padrone;s.m.
scrittore;s.m.
giovanotto;s.m.
poeta;s.m.
avvocato;s.m.
medico;s.m.
attore;s.m.
attrice;s.f.
attricetta;s.f.
folla;s.f.
comandante;s.m.
comandante;s.f.
prostituta;s.f.
